Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
20,UNO,21.0,UNO,UNO,91459.1015625,1896.885498046875,1.314435601234436,0.0035941158421337605,54710.41796875,202343456.0,78746.6953125,42860.85546875,0.059950944036245346,0.07902691513299942,0.9209730625152588,0.01643399999011308,0.0703125,0.0703125,0.09375,0.109375,0.1484375,0.0,0.0859375,0.0546875,0.2890625,0.078125,0.9296875
21,UNO,22.0,UNO,UNO,92470.609375,1915.8607177734375,1.3069329261779785,0.0006142359343357384,52377.13671875,86937440.0,81660.78125,42956.18359375,0.02478378266096115,0.07857027649879456,0.9214297533035278,0.015085000020917505,0.0703125,0.078125,0.1015625,0.1171875,0.1484375,0.0,0.078125,0.0546875,0.2734375,0.078125,0.921875
22,UNO,23.0,UNO,UNO,93184.3984375,1933.82958984375,1.2977092266082764,0.0001528522843727842,52403.4921875,44043968.0,83428.7109375,42700.69921875,0.012363344430923462,0.07798542082309723,0.922014594078064,0.01429074999759905,0.0703125,0.0625,0.1015625,0.125,0.1484375,0.0,0.078125,0.0546875,0.28125,0.078125,0.9375
23,UNO,24.0,UNO,UNO,94322.9453125,1950.7265625,1.287260890007019,7.605963764945045e-05,52930.24609375,31723216.0,82649.1796875,44011.04296875,0.008721217513084412,0.07730751484632492,0.9226924777030945,0.014516917028231546,0.0703125,0.0625,0.1015625,0.140625,0.1484375,0.0078125,0.078125,0.0625,0.2734375,0.0546875,0.9375
24,UNO,25.0,UNO,UNO,94701.1484375,1966.5263671875,1.2780189514160156,0.0008755620219744742,53731.2265625,108718728.0,84368.796875,43549.09765625,0.029589897021651268,0.07669318467378616,0.9233068227767944,0.0143171249947045,0.0703125,0.0625,0.109375,0.1328125,0.1484375,0.0078125,0.078125,0.0625,0.2734375,0.0546875,0.9375
25,UNO,26.0,UNO,UNO,95537.421875,1981.18408203125,1.2685478925704956,1.181628158519743e-05,53297.23046875,13157632.0,84528.5,45282.9609375,0.0034374818205833435,0.0760442316532135,0.9239557981491089,0.01454370899591595,0.0703125,0.0546875,0.1171875,0.140625,0.1484375,0.0078125,0.0703125,0.078125,0.2734375,0.0390625,0.9453125
26,UNO,27.0,UNO,UNO,95940.4375,1994.751953125,1.2593193054199219,4.957945566275157e-05,53413.2578125,27737136.0,84444.46875,46648.7109375,0.007041268050670624,0.07539626955986023,0.9246037006378174,0.01744987501297146,0.0625,0.0546875,0.1171875,0.140625,0.140625,0.0234375,0.0703125,0.078125,0.2734375,0.0390625,0.9453125
27,UNO,28.0,UNO,UNO,96517.375,2007.2578125,1.2513549327850342,1.9263412468717434e-05,53536.77734375,-18233072.0,86106.8125,48245.265625,-0.0043890103697776794,0.07481278479099274,0.9251872301101685,0.014792125002713874,0.0625,0.0546875,0.125,0.1484375,0.140625,0.0234375,0.0625,0.078125,0.265625,0.0390625,0.9453125
28,UNO,29.0,UNO,UNO,96973.5703125,2018.8065185546875,1.2440483570098877,7.420421025017276e-05,53607.34765625,35852096.0,86897.90625,47895.07421875,0.008614186197519302,0.07425960898399353,0.9257403612136841,0.014874375017825514,0.0625,0.0546875,0.125,0.1484375,0.140625,0.0234375,0.0625,0.078125,0.265625,0.0390625,0.9453125
29,UNO,30.0,UNO,UNO,97519.046875,2029.4459228515625,1.2372130155563354,0.00020757874881383032,53909.5546875,61567024.0,87949.2734375,48587.5234375,0.014407593756914139,0.07372767478227615,0.9262723326683044,0.0145920840150211,0.0625,0.0546875,0.125,0.15625,0.140625,0.0234375,0.0625,0.078125,0.2578125,0.0390625,0.9453125
30,UNO,31.0,UNO,UNO,97444.875,2039.2872314453125,1.2314587831497192,0.00031526395468972623,53509.453125,77594720.0,88368.28125,49453.72265625,0.017755674198269844,0.07325758039951324,0.926742434501648,0.015328832989325747,0.0625,0.0546875,0.125,0.15625,0.140625,0.0234375,0.0625,0.078125,0.2578125,0.0390625,0.9453125
31,UNO,32.0,UNO,UNO,97410.953125,2048.177001953125,1.2260770797729492,6.430639768950641e-05,53040.49609375,34458624.0,86078.6640625,49920.02734375,0.008019126951694489,0.0728096216917038,0.927190363407135,0.01760966598521918,0.0546875,0.0546875,0.125,0.15625,0.140625,0.0234375,0.0625,0.0859375,0.2578125,0.0390625,0.9453125
32,UNO,33.0,UNO,UNO,97265.109375,2056.203369140625,1.2207975387573242,0.0002214796404587105,52768.60546875,64329984.0,85790.390625,50385.75390625,0.014882192015647888,0.07236859202384949,0.9276313781738281,0.01828229200327769,0.0546875,0.0546875,0.125,0.1640625,0.140625,0.0234375,0.0625,0.0859375,0.25,0.0390625,0.9453125
33,UNO,34.0,UNO,UNO,97269.515625,2063.38232421875,1.2156087160110474,1.864655246208713e-06,52594.21875,-5984224.0,85189.2578125,51442.046875,-0.001365523785352707,0.0719359740614891,0.9280640482902527,0.01638929100590758,0.0546875,0.0546875,0.125,0.1640625,0.140625,0.015625,0.0625,0.0859375,0.2578125,0.0390625,0.9453125
34,UNO,35.0,UNO,UNO,96789.015625,2070.05859375,1.2099645137786865,0.00021502378513105214,52088.0078125,59892528.0,79957.15625,51082.4609375,0.014663688838481903,0.07147438824176788,0.9285256266593933,0.017048125009750947,0.0546875,0.0546875,0.125,0.1640625,0.140625,0.015625,0.0625,0.0859375,0.2578125,0.0390625,0.9453125
35,UNO,36.0,UNO,UNO,96634.2421875,2076.038330078125,1.2038373947143555,1.4986641872383188e-05,51666.22265625,15735664.0,78379.734375,51859.58984375,0.0038712583482265472,0.07098442316055298,0.929015576839447,0.017783666989998892,0.0546875,0.0546875,0.125,0.1640625,0.140625,0.015625,0.0625,0.0859375,0.2578125,0.0390625,0.9453125
36,UNO,37.0,UNO,UNO,96072.0625,2081.48681640625,1.1967260837554932,3.5362172638997436e-05,51112.6484375,-23234288.0,75616.234375,51670.7421875,-0.005946610122919083,0.07043113559484482,0.929568886756897,0.017031416995450854,0.0546875,0.0546875,0.125,0.1640625,0.1328125,0.015625,0.0625,0.0859375,0.2578125,0.046875,0.9453125
37,UNO,38.0,UNO,UNO,95483.5234375,2086.4677734375,1.188778281211853,0.00020081567345187068,50658.55078125,54325392.0,73769.3515625,51967.05078125,0.014170944690704346,0.06982459127902985,0.9301754236221313,0.019632875017123297,0.0546875,0.0546875,0.125,0.1640625,0.1328125,0.015625,0.0625,0.0859375,0.2578125,0.046875,0.9453125
38,UNO,39.0,UNO,UNO,94517.09375,2090.973388671875,1.1800163984298706,9.34599302127026e-05,49676.4140625,35109888.0,70557.2890625,51472.4765625,0.009667467325925827,0.06917044520378113,0.9308295249938965,0.019042041996726766,0.0546875,0.0546875,0.1328125,0.1640625,0.1328125,0.015625,0.0546875,0.0859375,0.2578125,0.046875,0.9453125
39,UNO,40.0,UNO,UNO,94474.71875,2094.884033203125,1.170211911201477,6.398604455171153e-05,49619.4375,28782592.0,69640.4765625,51668.453125,0.007999127730727196,0.06845441460609436,0.931545615196228,0.018158999999286607,0.0546875,0.0546875,0.1328125,0.1640625,0.1328125,0.015625,0.0546875,0.0859375,0.265625,0.0390625,0.9453125
40,UNO,41.0,UNO,UNO,93786.359375,2098.39306640625,1.159168004989624,0.00011054601054638624,49075.33203125,36751200.0,67268.7578125,51962.1015625,0.010514086112380028,0.0676637589931488,0.9323362112045288,0.018493125011445954,0.0546875,0.0546875,0.1328125,0.1484375,0.125,0.015625,0.0546875,0.0859375,0.28125,0.046875,0.9453125
41,UNO,42.0,UNO,UNO,92948.7109375,2101.544189453125,1.1471717357635498,5.719087312172633e-06,48125.4921875,-8018584.0,64574.41015625,51924.80859375,-0.002391461282968521,0.06681545078754425,0.9331845641136169,0.0180979160068091,0.0546875,0.0546875,0.1328125,0.1484375,0.125,0.015625,0.0546875,0.0859375,0.28125,0.046875,0.9453125
