Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Absolute Cosine Similarity,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
31,UNO,32.0,UNO,UNO,49846.171875,1453.473876953125,0.4624073505401611,0.0158910304307937,22692.40234375,105322512.0,16034.98828125,52104.6484375,0.1260596215724945,0.1260596215724945,141117.96875,789.99169921875,480.8665161132813,0.3714798390865326,0.3714798390865326,0.0273828692734241,0.9726171493530272,0.9795231669850182,0.078125,0.03125,0.1015625,0.15625,0.09375,0.0234375,0.125,0.0703125,0.1953125,0.125,0.96875
32,UNO,33.0,UNO,UNO,49030.60546875,1424.7410888671875,0.4955215156078338,0.1447317451238632,22492.947265625,-407602560.0,20654.375,51873.19921875,-0.3804362416267395,0.3804362416267395,115118.03125,770.3651733398438,412.2063903808594,0.3625199496746063,0.3625199496746063,0.0297031439840793,0.9702968597412108,0.997788540989859,0.078125,0.0390625,0.1015625,0.15625,0.09375,0.0234375,0.125,0.0703125,0.1875,0.125,0.9609375
33,UNO,34.0,UNO,UNO,49229.80859375,1459.7498779296875,0.5144019722938538,0.0001885322126327,22996.880859375,-13709355.0,22314.490234375,44744.25390625,-0.0137307029217481,0.0137307029217481,107670.21875,809.7474975585938,379.6260681152344,0.3502594828605652,0.3502594828605652,0.0310006998479366,0.9689993262290956,0.9817300830036402,0.0859375,0.0390625,0.109375,0.1484375,0.1015625,0.0234375,0.1171875,0.0703125,0.1875,0.1171875,0.9609375
34,UNO,35.0,UNO,UNO,49697.23828125,1445.570556640625,0.5202234983444214,0.0234282184392213,23094.884765625,-204572128.0,27568.908203125,48479.4140625,-0.1530627906322479,0.1530627906322479,88367.796875,765.4840087890625,350.9158020019531,0.3289689719676971,0.3289689719676971,0.0314321927726268,0.9685677886009216,0.9893650419835468,0.0859375,0.0390625,0.1171875,0.140625,0.109375,0.0234375,0.1171875,0.0703125,0.1875,0.109375,0.9609375
35,UNO,36.0,UNO,UNO,49224.140625,1452.15185546875,0.5286661386489868,0.0348511114716529,21341.044921875,159247056.0,16684.69921875,51126.3359375,0.1866845190525055,0.1866845190525055,77585.6953125,725.7487182617188,343.2650451660156,0.3114338517189026,0.3114338517189026,0.0320048332214355,0.9679951667785645,1.0576136670133565,0.0859375,0.0390625,0.1171875,0.140625,0.1015625,0.0234375,0.1171875,0.0703125,0.1875,0.1171875,0.9609375
36,UNO,37.0,UNO,UNO,48972.625,1460.61376953125,0.5320910215377808,0.001246188301593,21736.19921875,22660602.0,15733.4130859375,40799.67578125,0.0353013910353183,0.0353013910353183,96105.59375,751.34912109375,374.4344787597656,0.3416103720664978,0.3416103720664978,0.0321732871234416,0.9678267240524292,0.9698315410059876,0.0859375,0.0390625,0.1171875,0.1328125,0.1015625,0.0234375,0.1171875,0.0703125,0.1953125,0.1171875,0.9609375
37,UNO,38.0,UNO,UNO,49958.8125,1469.9666748046875,0.531413197517395,0.0040200976654887,22605.65625,47574968.0,15312.4345703125,49002.23046875,0.0634042397141456,0.0634042397141456,107519.9375,755.39892578125,385.64593505859375,0.3690829575061798,0.3690829575061798,0.0320571139454841,0.9679428935050964,0.9445256250037346,0.0859375,0.046875,0.1171875,0.1328125,0.1015625,0.0234375,0.1171875,0.0703125,0.1875,0.1171875,0.953125
38,UNO,39.0,UNO,UNO,50312.4609375,1460.1854248046875,0.538213312625885,0.0032437664922326,21540.64453125,-59001860.0,18345.705078125,56468.53515625,-0.0569540709257125,0.0569540709257125,104510.3515625,732.198486328125,369.6372375488281,0.3861488401889801,0.3861488401889801,0.0324316956102848,0.9675682783126832,0.9946167499874718,0.0859375,0.046875,0.1171875,0.1328125,0.1015625,0.0234375,0.1171875,0.0703125,0.1875,0.1171875,0.953125
39,UNO,40.0,UNO,UNO,47910.734375,1451.054443359375,0.5265119075775146,1.7983087673201226e-05,21411.826171875,4340071.0,21896.111328125,46740.96875,0.0042406469583511,0.0042406469583511,117163.453125,768.6329956054688,381.3223571777344,0.3997430205345154,0.3997430205345154,0.0315329805016517,0.9684669971466064,0.9474713749950752,0.0859375,0.0390625,0.1171875,0.1328125,0.1015625,0.0234375,0.1171875,0.0703125,0.1953125,0.1171875,0.9609375
40,UNO,41.0,UNO,UNO,50329.14453125,1469.4071044921875,0.5060856938362122,0.0088897896930575,22144.505859375,89528344.0,16837.638671875,56394.09765625,0.0942856818437576,0.0942856818437576,132313.171875,810.486328125,397.3102111816406,0.4108920395374298,0.4108920395374298,0.0300470907241106,0.9699528813362122,0.9787061249953696,0.0859375,0.0390625,0.1171875,0.125,0.1015625,0.0234375,0.1171875,0.0703125,0.203125,0.1171875,0.9609375
