Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
37,Retraining,38.0,Retraining,Retraining,46860.75,1525.0302734375,0.5044077038764954,0.11699181795120239,18440.376953125,164027952.0,4675.57666015625,102566.375,0.34204065799713135,0.02682354301214218,0.9731764793395996,0.008783333993051201,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.125,0.0703125,0.1953125,0.15625,0.9609375
38,Retraining,39.0,Retraining,Retraining,46565.109375,1525.848388671875,0.5030961632728577,0.0010953720193356276,18451.158203125,18098360.0,6030.83154296875,90673.6640625,0.03309640288352966,0.02682645246386528,0.9731735587120056,0.008679957973072305,0.078125,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.1328125,0.0703125,0.1953125,0.15625,0.9609375
39,Retraining,40.0,Retraining,Retraining,46737.25,1525.985595703125,0.4998049736022949,0.06582692265510559,18442.89453125,-181598784.0,7348.22119140625,96322.7578125,-0.2565675675868988,0.02667490392923355,0.9733250737190247,0.00862579100066796,0.078125,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.1328125,0.0703125,0.1953125,0.15625,0.9609375
40,Retraining,41.0,Retraining,Retraining,46740.515625,1526.279296875,0.493137001991272,0.041081227362155914,18399.607421875,-98444536.0,5256.58740234375,92398.75,-0.20268504321575165,0.026255134493112564,0.9737448692321777,0.008538208989193663,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.125,0.0703125,0.1953125,0.15625,0.9609375
41,Retraining,42.0,Retraining,Retraining,46446.0546875,1526.001708984375,0.48852527141571045,0.0012818106915801764,18379.62109375,16405211.0,4956.15966796875,92453.765625,0.03580238297581673,0.02586354687809944,0.974136471748352,0.00862445798702538,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.125,0.0703125,0.1953125,0.15625,0.9609375
42,Retraining,43.0,Retraining,Retraining,46623.3671875,1523.89111328125,0.48658111691474915,0.0027988937217742205,18387.927734375,-26407556.0,5206.65576171875,95868.53125,-0.05290457233786583,0.025670452043414116,0.9743295311927795,0.008689000009326264,0.1015625,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.109375,0.0703125,0.1953125,0.15625,0.9609375
43,Retraining,44.0,Retraining,Retraining,46541.37109375,1521.86962890625,0.4868333637714386,0.028521085157990456,18392.9765625,97351672.0,6353.45751953125,90729.890625,0.1688818633556366,0.025661921128630638,0.9743380546569824,0.009518667007796466,0.1015625,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.1015625,0.0703125,0.1953125,0.15625,0.9609375
44,Retraining,45.0,Retraining,Retraining,47068.33984375,1519.26123046875,0.4921613931655884,0.033063098788261414,18340.068359375,100271760.0,5030.775390625,109615.5078125,0.18183261156082153,0.02601185441017151,0.9739881753921509,0.008498042006976902,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.0234375,0.109375,0.0703125,0.1875,0.15625,0.9609375
45,Retraining,46.0,Retraining,Retraining,46605.2265625,1515.5213623046875,0.4957066774368286,0.02930639684200287,18383.484375,112812528.0,6685.07275390625,98575.7109375,0.17119111120700836,0.02623875066637993,0.973761260509491,0.00861625000834465,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.0234375,0.109375,0.0703125,0.1875,0.15625,0.9609375
46,Retraining,47.0,Retraining,Retraining,46670.2265625,1513.109130859375,0.49875694513320923,0.006891522090882063,18342.560546875,-46215528.0,5534.6279296875,100587.0078125,-0.08301518857479095,0.026424329727888107,0.9735756516456604,0.008543792006094009,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.0234375,0.109375,0.0703125,0.1875,0.15625,0.9609375
47,Retraining,48.0,Retraining,Retraining,46632.62890625,1511.27392578125,0.49577805399894714,0.05595891550183296,18319.712890625,-124253320.0,5201.9228515625,100973.96875,-0.23655636608600616,0.026216935366392136,0.9737830758094788,0.008621415996458381,0.1015625,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.109375,0.0703125,0.1875,0.15625,0.9609375
48,Retraining,49.0,Retraining,Retraining,46626.62890625,1510.2860107421875,0.491919606924057,0.004725877661257982,18303.4453125,-33234096.0,5072.89404296875,95298.6796875,-0.06874501705169678,0.02593425288796425,0.9740657210350037,0.00854370798333548,0.1015625,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.109375,0.0703125,0.1875,0.15625,0.9609375
49,Retraining,50.0,Retraining,Retraining,46549.7890625,1508.77587890625,0.4846038520336151,0.05452615022659302,18296.1796875,-133383472.0,5942.07080078125,96130.625,-0.23350834846496582,0.025370363146066666,0.9746296405792236,0.008698750025359914,0.1015625,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.109375,0.0703125,0.1953125,0.15625,0.9609375
50,Retraining,51.0,Retraining,Retraining,46728.2109375,1507.2762451171875,0.4751170575618744,0.005409169010818005,18263.685546875,34363216.0,4890.01904296875,95547.1953125,0.07354705035686493,0.024662703275680542,0.9753372669219971,0.00857174998964183,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.1171875,0.0703125,0.1953125,0.15625,0.9609375
51,Retraining,52.0,Retraining,Retraining,46732.61328125,1505.17041015625,0.46881213784217834,6.499123992398381e-05,18246.5390625,3996955.0,5083.1513671875,97536.7734375,0.008061714470386505,0.024203099310398102,0.9757968783378601,0.008630166994407773,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.125,0.0703125,0.1875,0.15625,0.9609375
52,Retraining,53.0,Retraining,Retraining,46496.4140625,1502.4541015625,0.4684831500053406,0.022965824231505394,18259.08984375,63844456.0,4895.55419921875,86055.828125,0.15154479444026947,0.02420729398727417,0.9757927060127258,0.008540332986740395,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.125,0.0703125,0.1875,0.15625,0.9609375
53,Retraining,54.0,Retraining,Retraining,46561.58984375,1500.711181640625,0.4688604176044464,0.07344300299882889,18269.763671875,144245600.0,5549.04150390625,95920.0625,0.27100369334220886,0.024276409298181534,0.9757235646247864,0.017785292002372444,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.125,0.0703125,0.1875,0.15625,0.9609375
54,Retraining,55.0,Retraining,Retraining,46520.94921875,1499.7100830078125,0.4736008048057556,0.0010000629117712379,18213.732421875,-12767558.0,4799.35791015625,84122.2734375,-0.03162376955151558,0.02467891201376915,0.9753211140632629,0.016315999993821606,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.1171875,0.0703125,0.1875,0.15625,0.9609375
55,Retraining,56.0,Retraining,Retraining,46403.6640625,1498.38330078125,0.47914063930511475,0.00022424603230319917,18218.341796875,8601263.0,6162.39111328125,93207.4453125,0.014974846504628658,0.025164199993014336,0.9748358130455017,0.011589833011385053,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.015625,0.1171875,0.0703125,0.1875,0.15625,0.9609375
