Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
44,S,45.0,UNO,UNO-S,89936.421875,1972.3328857421875,0.494428813457489,0.0007649441249668598,35303.08984375,-184629680.0,65496.53125,101922.125,-0.02765762247145176,0.022807300090789795,0.9771926999092102,0.01927633400191553,0.078125,0.015625,0.1015625,0.078125,0.1328125,0.0,0.125,0.0703125,0.3125,0.0859375,0.984375
45,UNO,46.0,S,UNO-S,89222.53125,1972.7933349609375,0.48064422607421875,0.0006001503206789494,33839.3203125,154714016.0,62650.71875,100803.0390625,0.02449796535074711,0.021968476474285126,0.9780315160751343,0.00931045800098218,0.078125,0.015625,0.1015625,0.078125,0.1328125,0.0,0.125,0.0703125,0.3125,0.0859375,0.984375
46,S,47.0,UNO,UNO-S,88975.9140625,1973.110107421875,0.4683436155319214,0.0014449622249230742,35002.3359375,236416992.0,60766.43359375,102349.7578125,0.038012657314538956,0.021238744258880615,0.9787612557411194,0.015994250017683953,0.078125,0.0078125,0.1015625,0.078125,0.125,0.0,0.125,0.0703125,0.328125,0.0859375,0.9921875
47,UNO,48.0,S,UNO-S,88053.671875,1973.3616943359375,0.4640723466873169,0.0024116181302815676,33224.171875,294731456.0,60427.1640625,99320.796875,0.04910822957754135,0.02109857276082039,0.9789014458656311,0.010637083003530279,0.078125,0.0078125,0.1015625,0.0859375,0.125,0.0,0.125,0.0703125,0.3203125,0.0859375,0.9921875
48,S,49.0,UNO,UNO-S,86979.453125,1973.6417236328125,0.45987439155578613,0.003943441901355982,36610.1328125,366216448.0,58423.13671875,99819.46875,0.06279683113098145,0.020949125289916992,0.979050874710083,0.016312041989294812,0.078125,0.0078125,0.1015625,0.0859375,0.125,0.0,0.125,0.0703125,0.3203125,0.0859375,0.9921875
49,UNO,50.0,S,UNO-S,86080.359375,1974.3760986328125,0.4674188792705536,0.00031119005871005356,32197.81640625,97504696.0,54650.29296875,101139.3125,0.017640579491853714,0.021665386855602264,0.9783346056938171,0.009902000019792467,0.078125,0.0078125,0.1015625,0.09375,0.125,0.0,0.125,0.0703125,0.3125,0.0859375,0.9921875
50,S,51.0,UNO,UNO-S,85403.375,1974.9534912109375,0.47490382194519043,0.0003448115021456033,32356.591796875,101439408.0,54125.96875,100927.6171875,0.01856910064816475,0.022344736382365227,0.977655291557312,0.01798629100085236,0.078125,0.015625,0.1015625,0.1015625,0.125,0.0078125,0.125,0.0703125,0.2890625,0.0859375,0.984375
51,UNO,52.0,S,UNO-S,84705.140625,1975.59033203125,0.48709118366241455,0.0004699415585491806,31767.634765625,-112414744.0,52257.6015625,99231.9765625,-0.0216781347990036,0.023337263613939285,0.9766627550125122,0.009636375005356967,0.0859375,0.015625,0.1015625,0.1015625,0.125,0.0078125,0.1171875,0.0703125,0.2890625,0.0859375,0.984375
52,S,53.0,UNO,UNO-S,83247.890625,1976.231689453125,0.4982638955116272,0.0033154324628412724,34720.14453125,-292896512.0,50844.03125,100047.0390625,-0.05757979303598404,0.024241778999567032,0.9757581949234009,0.017374791990732774,0.0859375,0.015625,0.1015625,0.1015625,0.125,0.0078125,0.1171875,0.0703125,0.2890625,0.0859375,0.984375
53,UNO,54.0,S,UNO-S,82590.203125,1977.7208251953125,0.49573859572410583,0.0015860270941630006,30867.3828125,-198442400.0,49792.12890625,100073.34375,-0.0398249551653862,0.02413712814450264,0.9758628606796265,0.010512624983675778,0.0859375,0.015625,0.1015625,0.1015625,0.125,0.0078125,0.1171875,0.0703125,0.2890625,0.0859375,0.984375
