Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
27,51622.375,1440.5858154296875,0.4659135043621063,0.0540004037320613,53116.96121916175,0.0100491046905517,0.3934915065765381,0.396508127450943,0.109375,0.03125,0.1171875,0.1640625,0.0625,0.046875,0.1015625,0.0625,0.1640625,0.140625,26,UNO,87031.078125,803.2075805664062,410.1788635253906,0.2641638219356537,0.2641638219356537,0.7358361482620239
28,52373.83984375,1441.96484375,0.4352505207061767,0.024318428710103,53840.1231162101,0.0105981826782226,0.4000018239021301,0.3918601274490356,0.109375,0.0234375,0.1171875,0.1640625,0.0625,0.046875,0.1015625,0.0625,0.171875,0.140625,27,UNO,94708.6015625,792.8694458007812,506.35247802734375,0.23590373992919922,0.23590373992919922,0.7640962600708008
29,51629.140625,1451.1124267578125,0.417300134897232,0.0013198932865634,53081.572945044376,0.0099549293518066,0.3996681571006775,0.3841556310653686,0.109375,0.0234375,0.109375,0.1640625,0.0625,0.046875,0.109375,0.0625,0.171875,0.140625,28,UNO,100571.671875,797.098388671875,574.7150268554688,0.21953873336315155,0.21953873336315155,0.7804612517356873
30,53287.70703125,1427.2703857421875,0.4217820167541504,0.0412838235497474,54756.261240541935,0.0100879669189453,0.4005484282970428,0.3877801895141601,0.109375,0.0234375,0.109375,0.1640625,0.0625,0.046875,0.109375,0.0625,0.1796875,0.1328125,29,UNO,95621.265625,736.135498046875,653.3794555664062,0.19880682229995728,0.19880682229995728,0.8011931777000427
31,54252.78515625,1474.451171875,0.4231666922569275,0.009397436864674,55736.633764989674,0.0100467205047607,0.3965449333190918,0.3898328244686126,0.109375,0.0234375,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0625,0.1875,0.1171875,30,UNO,80243.2265625,700.5413818359375,648.476318359375,0.1766364872455597,0.1766364872455597,0.8233635425567627
32,52900.609375,1466.0009765625,0.4337804019451141,0.0039978949353098,54370.60824649781,0.0101540088653564,0.3903190791606903,0.3833081424236297,0.109375,0.03125,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0625,0.1796875,0.1171875,31,UNO,75273.4375,690.2741088867188,573.6376953125,0.19010014832019806,0.19010014832019806,0.8098998665809631
33,54569.73046875,1471.204345703125,0.4381556212902069,0.0013476146850734,56042.2824291382,0.0103158950805664,0.3920663595199585,0.3845964670181274,0.109375,0.03125,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.1796875,0.125,32,UNO,70234.3828125,621.1215209960938,579.7840576171875,0.19503247737884521,0.19503247737884521,0.8049675226211548
34,54447.70703125,1484.834716796875,0.4473527669906616,0.0031172733288258,55935.6590213757,0.0101819038391113,0.3947963714599609,0.3926244676113128,0.109375,0.03125,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.1796875,0.125,33,UNO,74574.1875,645.614990234375,541.6883544921875,0.21323838829994202,0.21323838829994202,0.7867616415023804
35,52323.14453125,1451.3935546875,0.4763549268245697,0.0017421676311641,53776.280253568664,0.0097591876983642,0.3984636068344116,0.3837363123893738,0.109375,0.0390625,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.171875,0.125,34,UNO,73882.46875,638.8071899414062,494.76898193359375,0.23375941812992096,0.23375941812992096,0.7662405967712402
36,52986.359375,1443.447265625,0.4964388012886047,0.0293313413858413,54459.13798201084,0.0103781223297119,0.3976510167121887,0.3957147002220154,0.109375,0.0390625,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.171875,0.125,35,UNO,87481.7890625,703.7215576171875,478.09967041015625,0.26001495122909546,0.26001495122909546,0.7399850487709045
37,53277.140625,1461.4141845703125,0.5192579627037048,2.0865260012215003e-05,54738.575674830325,0.0101566314697265,0.3941174447536468,0.3859151303768158,0.109375,0.046875,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.1640625,0.125,36,UNO,93240.515625,739.9134521484375,488.40264892578125,0.2580154538154602,0.2580154538154602,0.7419845461845398
